isn,ssn,uid,publicering,kode,cvrNummer,periodeStart,periodeSlut,xbrlDokument,pdfDokument
494594,0,X-33C4F4C4-20150219_103944_609,TIL,R,89644216,1-1-2014,31-12-2014,X-33C4F4C4-20150219_103944_609.xml,
494595,0,X-7FE63EF7-20150219_140211_866,TIL,R,89528828,1-1-2014,31-12-2014,X-7FE63EF7-20150219_140211_866.xml,
494596,0,X-9FB582D0-20150218_142355_845,TIL,R,88019318,1-10-2013,30-9-2014,X-9FB582D0-20150218_142355_845.xml,
494597,0,X-07C8270C-20150219_142409_365,TIL,R,88016114,1-10-2013,30-9-2014,X-07C8270C-20150219_142409_365.xml,
494598,0,X-244073EE-20150219_102354_813,TIL,R,87947513,1-10-2013,30-9-2014,X-244073EE-20150219_102354_813.xml,
494599,0,X-C6A48811-20150220_105134_876,TIL,R,87869113,1-10-2013,30-9-2014,X-C6A48811-20150220_105134_876.xml,
494600,0,X-4EE1E208-20150219_091056_454,TIL,R,87728218,1-10-2013,30-9-2014,X-4EE1E208-20150219_091056_454.xml,
494601,0,X-F7691F47-20150220_100653_625,TIL,R,87409112,1-10-2013,30-9-2014,X-F7691F47-20150220_100653_625.xml,
494602,0,X-453D2472-20150219_115057_022,TIL,R,87184013,1-10-2013,30-9-2014,X-453D2472-20150219_115057_022.xml,
494603,0,X-32240E4D-20150218_140004_661,TIL,R,84311715,1-1-2014,31-12-2014,X-32240E4D-20150218_140004_661.xml,
494604,0,X-0332DAA0-20150220_171155_364,TIL,R,83876611,1-10-2013,30-9-2014,X-0332DAA0-20150220_171155_364.xml,
494605,0,X-3943E7D9-20150220_125853_310,TIL,R,83686715,1-10-2013,30-9-2014,X-3943E7D9-20150220_125853_310.xml,
494606,0,X-21B595C6-20150219_124444_039,TIL,R,83092718,1-10-2013,30-9-2014,X-21B595C6-20150219_124444_039.xml,
494607,0,X-F7691F47-20150220_105651_612,TIL,R,82805818,1-10-2013,30-9-2014,X-F7691F47-20150220_105651_612.xml,
494608,0,X-7DCBEB12-20150218_182543_821,TIL,R,82210415,1-10-2013,30-9-2014,X-7DCBEB12-20150218_182543_821.xml,
494609,0,X-AD1F8418-20150220_115217_253,TIL,R,81903514,1-10-2014,30-11-2014,X-AD1F8418-20150220_115217_253.xml,
494610,0,X-AD1F8418-20150220_115121_295,TIL,R,81903514,1-10-2013,30-9-2014,X-AD1F8418-20150220_115121_295.xml,
494611,0,X-919161E4-20150220_105942_423,TIL,R,81893314,1-1-2014,31-12-2014,X-919161E4-20150220_105942_423.xml,
